stationId,hierarchy
163.5.0,Junkerdalselva/Saltdalsvassdraget
163.6.0,Russåga/Saltdalsvassdraget
163.7.0,Kjemåga/Saltdalsvassdraget
164.10.0,Sulitjelmavassdraget
164.12.0,Sulitjelmavassdraget
164.18.0,Låmielva/Sulitjelmavassdraget
164.28.0,Sulitjelmavassdraget
164.38.0,Sulitjelmavassdraget/Skjerstadfjorden nord
164.4.0,Sulitjelmavassdraget
164.6.0,Sulitjelmavassdraget
164.7.0,Risvasselva/Sulitjelmavassdraget
165.11.0,Kyst Saltstraumen-Bodø-Tårnvikfjellet
165.13.0,elv i Strandvassbotn
165.2.0,Vatnvassdraget
165.6.0,elv i Strandvassbotn
165.9.0,Kyst Saltstraumen-Bodø-Tårnvikfjellet
166.1.0,Laksåga
166.13.0,Lakselva
166.15.0,Laksåga
166.16.0,Laksåga
166.17.3,Lakselva
166.21.0,Fuglevasselva/Sleipdalselva/Laksåga
166.22.0,Laksåga
166.26.0,Laksåga
166.6.0,Fagerbakkvassdraget
167.10.0,Livssejohka/Kobbelvvassdraget
167.11.0,Kobbelvvassdraget
167.12.0,Veikdalselva/Kobbelvvassdraget
167.13.0,elv fra Varrevaikaja/Veikdalselva/Kobbelvvassdraget
167.14.0,Sørfjordelva
167.3.0,Kobbelvvassdraget
167.34.0,Kobbelvvassdraget
167.35.0,Kobbelvvassdraget
167.39.0,Kobbelvvassdraget
167.9.0,Livssejohka/Kobbelvvassdraget
168.1.0,Lommerelva
168.2.0,Marsvikelva
168.3.0,Lakså
17.10.0,Kragerøvassdraget
17.13.0,Kragerøvassdraget
170.10.0,Hellandselva/Varpelva
170.11.0,Hellandselva/Varpelva
170.3.0,Falkelva/Sagelvvassdraget
170.4.0,Sagelvvassdraget
170.5.0,Skjevågelva
171.1.0,Brynelva/Botnelva
171.12.0,Botnelva
171.7.0,Draugelva/Hellemovassdraget
172.5.0,Sørelva
172.6.0,Hjertevasselva/Sørelva
172.7.0,Leirpollelva
172.8.0,Sørelva
173.12.0,Skjomavassdraget
173.13.0,Kjøriselva/Skjomavassdraget
173.14.0,Losielva/Nordelva/Skjomavassdraget
173.15.0,elv fra Iptovatnet/Skjomavassdraget
173.16.0,Storelva
173.22.0,Skjomavassdraget
173.24.0,Skjomavassdraget
173.28.1,Skjomavassdraget
173.8.0,Coarvvejokka/Skjomavassdraget
174.11.0,Taraldsvikelva
174.14.0,Indre sildvikelva
174.15.0,Åselva/Storelva
174.16.0,elv fra Høgvatnet/Storelva
174.17.0,elv fra Høgvatnet/Storelva
174.18.0,Storelva
174.19.0,elv fra Skitdalsvatnet/Storelva
174.3.0,Håkvikelva
174.37.0,Tverrdalselva/Lakselva (beisfjord)
174.38.0,Lakselva (beisfjord)
174.39.0,Lakselva (beisfjord)
174.4.0,Håkvikelva
174.40.0,Lakselva (beisfjord)
174.41.0,Håkvikelva
174.42.0,Håkvikelva
174.44.0,Håkvikelva
175.1.0,elv fra Strandvatnet
175.2.0,elv fra Strandvatnet
176.2.0,Mølnelva
177.4.0,Sneiselva
178.1.0,Langvasselva
178.12.1,Vestre Hinnøya
179.6.0,Vågan kommune
18.10.0,Gjerstadvassdraget
18.11.0,Gjerstadvassdraget
18.13.0,Vegårsvassdraget
18.4.0,Vegårsvassdraget
18.5.0,Vegårsvassdraget og Gjerstadvassdraget/kyst Kragerø-Tromøya
180.1.0,elv fra Farstadvatnet
185.1.0,Ringstadelva
185.2.3,Riseelva
186.2.0,Åelva
189.1.0,Skoddebergvassdraget
189.3.0,Tennevikelva
19.100.0,Arendalsvassdraget
19.103.0,Frostdøl/Arendalsvassdraget
19.104.0,Songedalsåi/Fyresdalsåna/Arendalsvassdraget
19.105.0,Arendalsvassdraget
19.106.0,Bondøl/Fyresdalsåna/Arendalsvassdraget
19.107.0,Lilleelva/Arendalsvassdraget
19.127.0,Arendalsvassdraget
19.136.0,Fyresdalsåna/Arendalsvassdraget
19.137.0,Arendalsvassdraget
19.144.0,Stigvasselva/Arendalsvassdraget
19.144.9,Stigvasselva/Arendalsvassdraget
19.250.0,Landvikelva
19.3.0,Fyresdalsåna/Arendalsvassdraget
19.38.0,Arendalsvassdraget
19.5.0,Gjøv/Arendalsvassdraget
19.58.0,Arendalsvassdraget
19.61.0,Tovsliåni/Gjøv/Arendalsvassdraget
19.62.0,Arendalsvassdraget
19.7.0,Fyresdalsåna/Arendalsvassdraget
19.73.0,Kilåi/Fyresdalsåna/Arendalsvassdraget
19.78.0,Grytåi/Frostdøl/Arendalsvassdraget
19.79.0,Fyresdalsåna/Arendalsvassdraget
19.80.0,Stigvasselva/Arendalsvassdraget
19.81.0,Arendalsvassdraget
19.82.0,Arendalsvassdraget
19.83.0,Gjuvåni/Songedalsåi/Fyresdalsåna/Arendalsvassdraget
19.85.0,Borstadåi/Arendalsvassdraget
19.86.0,Bondøl/Fyresdalsåna/Arendalsvassdraget
19.87.0,Fyresdalsåna/Arendalsvassdraget
19.88.0,Gausåni/Fyresdalsåna/Arendalsvassdraget
19.96.0,Heimdøl/Arendalsvassdraget
19.98.0,Arendalsvassdraget
19.99.0,Arendalsvassdraget
191.2.0,Salangselva
191.3.0,Salangselva
194.1.0,Lyselva
194.2.0,Lyselva
194.3.0,Lyselva
194.4.0,Lakselva fra Trollbuvatnet
